"","Year","Age.Group","Income Group","Alcoholic beverages","Apparel and services","At least one vehicle owned or leased","Cash contributions","College","Education","Entertainment","Food","Food at home","Healthcare","Homeowner","Housing","Income after taxes","Male","Miscellaneous","Personal care products and services","Personal insurance and pensions","Reading","Tobacco products and smoking supplies","Transportation","With mortgage"
"60","2008-2009","35 to 44 years","Less than 5000$","501","1230","69","931","52","376","1965","4994","3053","1407","43","13288","-1821","40","349","387","412","32","372","4250","28"
"61","2008-2009","35 to 44 years","5000$ to 9999$","248","1113","60","689","35","d/ 229","984","3579","2334","852","28","9280","8169","45","270","404","300","18","345","3171","16"
"62","2008-2009","35 to 44 years","10000$ to 14999$","188","2482","72","505","43","464","951","4019","2971","795","26","9991","13386","39","355","254","696","32","521","2764","16"
"63","2008-2009","35 to 44 years","15000$ to 19999$","200","959","79","411","43","198","1149","4126","2875","1075","29","10745","18344","33","314","310","1101","27","472","4311","16"
"64","2008-2009","35 to 44 years","20000$ to 29999$","167","1338","87","536","44","198","1283","4905","3260","1086","41","12007","25729","39","534","430","1958","48","476","4788","28"
"65","2008-2009","35 to 44 years","30000$ to 39999$","305","1507","87","900","49","470","1857","5723","3615","1824","49","14027","35376","45","519","436","2862","38","420","5957","38"
"66","2008-2009","35 to 44 years","40000$ to 49999$","323","1823","94","1230","59","335","2022","5970","3765","1836","55","15583","44707","44","702","553","3860","55","434","6875","46"
"67","2008-2009","35 to 44 years","50000$ to 69999$","363","1721","95","1351","61","642","2612","6973","4068","2400","70","17917","59175","49","997","574","5354","72","409","8752","60"
"68","2008-2009","35 to 44 years","Over 70000$","724","3205","98","2364","82","1635","5550","10646","5710","3574","86","28965","125548","52","1260","1017","12407","151","322","12861","79"
"69","2008-2009","45 to 54 years","Total","503","2059","92","2104","61","2033","3237","7573","4399","3051","75","19285","78001","48","1003","702","7753","122","475","10052","56"
"70","2008-2009","45 to 54 years","Less than 5000$","402","845","60","752","49","d/ 565","1642","4509","3106","1523","40","11471","-5239","50","292","286","775","57","626","3202","21"
"71","2008-2009","45 to 54 years","5000$ to 9999$","403","1061","48","169","36","d/ 144","1056","3060","2310","803","30","8382","8323","34","293","183","235","28","428","2400","16"
"72","2008-2009","45 to 54 years","10000$ to 14999$","227","1275","68","480","38","326","1050","4317","2952","1296","37","9699","12975","33","358","246","586","28","672","3518","19"
"73","2008-2009","45 to 54 years","15000$ to 19999$","156","958","78","803","37","115","1261","3945","2977","1351","48","10129","17785","40","351","270","1140","49","434","3945","21"
"74","2008-2009","45 to 54 years","20000$ to 29999$","259","1032","86","775","38","273","1685","4741","3296","1762","53","11735","25187","40","390","413","1903","44","594","4813","33"
"75","2008-2009","45 to 54 years","30000$ to 39999$","302","1248","90","912","52","624","1561","4809","3063","2033","61","13177","34336","40","790","406","2979","60","478","6225","42"
"76","2008-2009","45 to 54 years","40000$ to 49999$","332","1165","96","1006","55","780","1739","5241","3342","2262","71","14249","44318","50","764","457","3981","75","501","6610","52"
"77","2008-2009","45 to 54 years","50000$ to 69999$","368","1545","96","1474","58","890","2409","6245","3764","2924","76","16314","57914","44","876","593","5705","92","544","8963","56"
"78","2008-2009","45 to 54 years","Over 70000$","742","3076","98","3439","75","3768","5012","10662","5784","4168","91","26469","128342","54","1433","1029","13120","190","407","14641","73"
"79","2008-2009","55 to 64 years","Total","482","1606","92","2127","63","936","2970","6330","3694","3860","81","17295","68282","49","1130","623","6867","152","383","8842","47"
"80","2008-2009","55 to 64 years","Less than 5000$","202","627","69","624","56","a/ 469","2358","3646","2544","2531","58","11284","-2107","47","980","478","1185","81","296","3844","26"
"81","2008-2009","55 to 64 years","5000$ to 9999$","201","566","63","359","34","a/ 14","1082","3213","2586","1427","47","7715","8087","35","178","209","381","40","337","2774","19"
